reference.x,reference.y,reference.yaw,reference.speed,drivable_width
15.6,2.49589491422873,0,5,2
15.7,2.52885086707928,0,5,2
15.8,2.56204051605929,0,5,2
15.9,2.5954643520264,0,5,2
16,2.62912287069196,0,5,2
16.1,2.66301657266276,0,5,2
16.2,2.69714596348334,0,5,2
16.3,2.73151155367881,0,5,2
16.4,2.76611385879836,0,5,2
16.5,2.80095339945943,0,5,2
16.6,2.8360307013924,0,5,2
16.7,2.87134629548601,0,5,2
16.8,2.9069007178334,0,5,2
16.9,2.94269450977882,0,5,2
17,2.97872821796501,0,5,2
17.1,3.01500239438124,0,5,2
17.2,3.05151759641213,0,5,2
17.3,3.08827438688702,0,5,2
17.4,3.12527333413026,0,5,2
17.5,3.16251501201202,0,5,2
17.6,3.2,0,5,2
17.7,3.23772888321184,0,5,2
17.8,3.27570225246826,0,5,2
17.9,3.313920704347,0,5,2
18,3.35238484123759,0,5,2
18.1,3.39109527139691,0,5,2
18.2,3.43005260900545,0,5,2
18.3,3.46925747422463,0,5,2
18.4,3.50871049325476,0,5,2
18.5,3.54841229839393,0,5,2
18.6,3.58836352809783,0,5,2
18.7,3.62856482704034,0,5,2
18.8,3.66901684617518,0,5,2
18.9,3.70972024279828,0,5,2
19,3.75067568061129,0,5,2
19.1,3.79188382978592,0,5,2
19.2,3.83334536702925,0,5,2
19.3,3.87506097565006,0,5,2
19.4,3.91703134562619,0,5,2
19.5,3.9592571736728,0,5,2
19.6,4.00173916331183,0,5,2
19.7,4.04447802494242,0,5,2
19.8,4.08747447591235,0,5,2
19.9,4.13072924059071,0,5,2
20,4.1742430504416,0,5,2
20.1,4.21801664409896,0,5,2
20.2,4.26205076744258,0,5,2
20.3,4.30634617367528,0,5,2
20.4,4.35090362340126,0,5,2
20.5,4.39572388470572,0,5,2
20.6,4.44080773323566,0,5,2
20.7,4.48615595228195,0,5,2
20.8,4.53176933286275,0,5,2
20.9,4.57764867380818,0,5,2
21,4.62379478184629,0,5,2
21.1,4.6702084716905,0,5,2
21.2,4.7168905661283,0,5,2
21.3,4.76384189611147,0,5,2
21.4,4.81106330084763,0,5,2
21.5,4.85855562789334,0,5,2
21.6,4.90631973324865,0,5,2
21.7,4.95435648145318,0,5,2
21.8,5.0026667456837,0,5,2
21.9,5.05125140785341,0,5,2
22,5.1001113587127,0,5,2
22.1,5.14924749795161,0,5,2
22.2,5.19866073430394,0,5,2
22.3,5.24835198565309,0,5,2
22.4,5.29832217913963,0,5,2
22.5,5.34857225127062,0,5,2
22.6,5.39910314803075,0,5,2
22.7,5.44991582499534,0,5,2
22.8,5.50101124744518,0,5,2
22.9,5.55239039048332,0,5,2
23,5.60405423915378,0,5,2
23.1,5.65600378856232,0,5,2
23.2,5.70824004399915,0,5,2
23.3,5.76076402106384,0,5,2
23.4,5.81357674579215,0,5,2
23.5,5.86667925478528,0,5,2
23.6,5.92007259534108,0,5,2
23.7,5.9737578255877,0,5,2
23.8,6.0277360146194,0,5,2
23.9,6.08200824263477,0,5,2
24,6.13657560107738,0,5,2
24.1,6.19143919277877,0,5,2
24.2,6.24660013210402,0,5,2
24.3,6.30205954509984,0,5,2
24.4,6.35781856964526,0,5,2
24.5,6.41387835560498,0,5,2
24.6,6.47024006498543,0,5,2
24.7,6.5269048720936,0,5,2
24.8,6.58387396369869,0,5,2
24.9,6.64114853919676,0,5,2
25,6.69872981077807,0,5,2
25.1,6.75661900359779,0,5,2
25.2,6.81481735594951,0,5,2
25.3,6.87332611944204,0,5,2
25.4,6.93214655917944,0,5,2
25.5,6.99127995394422,0,5,2
25.6,7.05072759638413,0,5,2
25.7,7.11049079320213,0,5,2
25.8,7.17057086535007,0,5,2
25.9,7.23096914822595,0,5,2
26,7.29168699187476,0,5,2
26.1,7.35272576119314,0,5,2
26.2,7.41408683613794,0,5,2
26.3,7.47577161193868,0,5,2
26.4,7.53778149931401,0,5,2
26.5,7.60011792469229,0,5,2
26.6,7.6627823304365,0,5,2
26.7,7.72577617507331,0,5,2
26.8,7.78910093352666,0,5,2
26.9,7.85275809735589,0,5,2
27,7.91674917499837,0,5,2
27.1,7.98107569201706,0,5,2
27.2,8.04573919135269,0,5,2
27.3,8.11074123358113,0,5,2
27.4,8.17608339717573,0,5,2
27.5,8.24176727877484,0,5,2
27.6,8.30779449345478,0,5,2
27.7,8.37416667500818,0,5,2
27.8,8.44088547622796,0,5,2
27.9,8.50795256919707,0,5,2
28,8.57536964558404,0,5,2
28.1,8.64313841694464,0,5,2
28.2,8.71126061502967,0,5,2
28.3,8.77973799209908,0,5,2
28.4,8.84857232124261,0,5,2
28.5,8.91776539670706,0,5,2
28.6,8.9873190342304,0,5,2
28.7,9.05723507138288,0,5,2
28.8,9.1275153679153,0,5,2
28.9,9.19816180611467,0,5,2
29,9.2691762911674,0,5,2
29.1,9.34056075153028,0,5,2
29.2,9.41231713930937,0,5,2
29.3,9.48444743064708,0,5,2
29.4,9.55695362611763,0,5,2
29.5,9.6298377511311,0,5,2
29.6,9.70310185634632,0,5,2
29.7,9.77674801809282,0,5,2
29.8,9.85077833880213,0,5,2
29.9,9.9251949474486,0,5,2
30,10,0,5,2
30.1,10.0751956798784,0,5,2
30.2,10.1507841984312,0,5,2
30.3,10.226767795413,0,5,2
30.4,10.3031487394781,0,5,2
30.5,10.3799293286849,0,5,2
30.6,10.4571118910113,0,5,2
30.7,10.5346987848819,0,5,2
30.8,10.6126923997083,0,5,2
30.9,10.6910951564407,0,5,2
31,10.7699095081339,0,5,2
31.1,10.8491379405255,0,5,2
31.2,10.928782972628,0,5,2
31.3,11.0088471573358,0,5,2
31.4,11.0893330820455,0,5,2
31.5,11.1702433692922,0,5,2
31.6,11.2515806774005,0,5,2
31.7,11.3333477011521,0,5,2
31.8,11.4155471724686,0,5,2
