reference.x_left,reference.y_left,reference.rho_left,reference.x_right,reference.y_right,reference.rho_right,reference.speed
5313.22401152976,-89879.4484427424,0,5311.89288731794,-89884.7849311321,0,11.111
5313.17549799894,-89879.4363416132,0,5311.84437378712,-89884.7728300029,0,11.111
5313.12698446813,-89879.424240484,0,5311.79586025631,-89884.7607288737,0,11.111
5313.07847093731,-89879.4121393548,0,5311.74734672549,-89884.7486277445,0,11.111
5313.0299574065,-89879.4000382256,0,5311.69883319468,-89884.7365266153,0,11.111
5312.98144387568,-89879.3879370964,0,5311.65031966386,-89884.7244254861,0,11.111
5312.93293034487,-89879.3758359673,0,5311.60180613305,-89884.7123243569,0,11.111
5312.88441681405,-89879.363734838,0,5311.55329260223,-89884.7002232277,0,11.111
5312.83590328324,-89879.3516337089,0,5311.50477907142,-89884.6881220985,0,11.111
5312.78738975242,-89879.3395325796,0,5311.4562655406,-89884.6760209693,0,11.111
5312.73887622161,-89879.3274314505,0,5311.40775200979,-89884.6639198401,0,11.111
5312.69036269079,-89879.3153303213,0,5311.35923847897,-89884.6518187109,0,11.111
5312.64184915998,-89879.3032291921,0,5311.31072494816,-89884.6397175817,0,11.111
5312.59333562916,-89879.2911280629,0,5311.26221141734,-89884.6276164525,0,11.111
5312.54482209835,-89879.2790269337,0,5311.21369788653,-89884.6155153233,0,11.111
5312.49630856753,-89879.2669258045,0,5311.16518435571,-89884.6034141941,0,11.111
5312.44779503672,-89879.2548246753,0,5311.1166708249,-89884.5913130649,0,11.111
5312.3992815059,-89879.2427235461,0,5311.06815729408,-89884.5792119357,0,11.111
5312.35076797509,-89879.2306224169,0,5311.01964376327,-89884.5671108065,0,11.111
5312.30225444427,-89879.2185212877,0,5310.97113023245,-89884.5550096773,0,11.111
5312.25374091346,-89879.2064201585,0,5310.92261670164,-89884.5429085481,0,11.111
5312.20522738264,-89879.1943190293,0,5310.87410317082,-89884.5308074189,0,11.111
5312.15671385183,-89879.1822179001,0,5310.82558964001,-89884.5187062897,0,11.111
5312.10820032101,-89879.1701167709,0,5310.77707610919,-89884.5066051605,0,11.111
5312.0596867902,-89879.1580156417,0,5310.72856257838,-89884.4945040313,0,11.111
5312.01117325939,-89879.1459145125,0,5310.68004904757,-89884.4824029021,0,11.111
5311.96265972857,-89879.1338133833,0,5310.63153551675,-89884.4703017729,0,11.111
5311.91414619776,-89879.1217122541,0,5310.58302198594,-89884.4582006437,0,11.111
5311.86563266694,-89879.1096111249,0,5310.53450845512,-89884.4460995145,0,11.111
5311.81711913613,-89879.0975099957,0,5310.48599492431,-89884.4339983853,0,11.111
5311.76860560531,-89879.0854088665,0,5310.43748139349,-89884.4218972561,0,11.111
5311.7200920745,-89879.0733077373,0,5310.38896786268,-89884.4097961269,0,11.111
