reference.x,reference.y,reference.yaw,reference.speed,drivable_width
0,0,0,1.5,2
0.1,0.04997916927,0,1.5,2
0.2,0.09983341665,0,1.5,2
0.3,0.1494381325,0,1.5,2
0.4,0.1986693308,0,1.5,2
0.5,0.2474039593,0,1.5,2
0.6,0.2955202067,0,1.5,2
0.7,0.3428978075,0,1.5,2
0.8,0.3894183423,0,1.5,2
0.9,0.4349655341,0,1.5,2
1,0.4794255386,0,1.5,2
1.1,0.5226872289,0,1.5,2
1.2,0.5646424734,0,1.5,2
1.3,0.6051864057,0,1.5,2
1.4,0.6442176872,0,1.5,2
1.5,0.68163876,0,1.5,2
1.6,0.7173560909,0,1.5,2
1.7,0.7512804051,0,1.5,2
1.8,0.7833269096,0,1.5,2
1.9,0.8134155048,0,1.5,2
2,0.8414709848,0,1.5,2
2.1,0.8674232256,0,1.5,2
2.2,0.8912073601,0,1.5,2
2.3,0.9127639403,0,1.5,2
2.4,0.932039086,0,1.5,2
2.5,0.9489846194,0,1.5,2
2.6,0.9635581854,0,1.5,2
2.7,0.9757233578,0,1.5,2
2.8,0.98544973,0,1.5,2
2.9,0.992712991,0,1.5,2
3,0.9974949866,0,1.5,2
3.1,0.9997837642,0,1.5,2
3.2,0.999573603,0,1.5,2
3.3,0.9968650285,0,1.5,2
3.4,0.9916648105,0,1.5,2
3.5,0.9839859469,0,1.5,2
3.6,0.9738476309,0,1.5,2
3.7,0.961275203,0,1.5,2
3.8,0.9463000877,0,1.5,2
3.9,0.928959715,0,1.5,2
4,0.9092974268,0,1.5,2
4.1,0.8873623686,0,1.5,2
4.2,0.8632093666,0,1.5,2
4.3,0.8368987908,0,1.5,2
4.4,0.8084964038,0,1.5,2
4.5,0.7780731969,0,1.5,2
4.6,0.7457052122,0,1.5,2
4.7,0.7114733528,0,1.5,2
4.8,0.6754631806,0,1.5,2
4.9,0.6377647021,0,1.5,2
5,0.5984721441,0,1.5,2
5.1,0.5576837174,0,1.5,2
5.2,0.5155013718,0,1.5,2
5.3,0.4720305413,0,1.5,2
5.4,0.4273798802,0,1.5,2
5.5,0.3816609921,0,1.5,2
5.6,0.3349881502,0,1.5,2
5.7,0.2874780123,0,1.5,2
5.8,0.2392493292,0,1.5,2
5.9,0.1904226474,0,1.5,2
6,0.1411200081,0,1.5,2
6.1,0.09146464223,0,1.5,2
6.2,0.04158066243,0,1.5,2
6.3,-0.008407247367,0,1.5,2
6.4,-0.05837414343,0,1.5,2
6.5,-0.1081951345,0,1.5,2
6.6,-0.1577456941,0,1.5,2
6.7,-0.2069019717,0,1.5,2
6.8,-0.255541102,0,1.5,2
6.9,-0.3035415127,0,1.5,2
7,-0.3507832277,0,1.5,2
7.1,-0.3971481673,0,1.5,2
7.2,-0.4425204433,0,1.5,2
7.3,-0.4867866487,0,1.5,2
7.4,-0.5298361409,0,1.5,2
7.5,-0.5715613187,0,1.5,2
7.6,-0.6118578909,0,1.5,2
7.7,-0.6506251371,0,1.5,2
7.8,-0.6877661592,0,1.5,2
7.9,-0.7231881241,0,1.5,2
8,-0.7568024953,0,1.5,2
8.1,-0.7885252544,0,1.5,2
8.2,-0.8182771111,0,1.5,2
8.3,-0.8459837011,0,1.5,2
8.4,-0.8715757724,0,1.5,2
8.5,-0.8949893582,0,1.5,2
8.6,-0.9161659367,0,1.5,2
8.7,-0.9350525776,0,1.5,2
8.8,-0.9516020739,0,1.5,2
8.9,-0.9657730606,0,1.5,2
9,-0.9775301177,0,1.5,2
9.1,-0.9868438585,0,1.5,2
9.2,-0.9936910036,0,1.5,2
9.3,-0.9980544388,0,1.5,2
9.4,-0.9999232576,0,1.5,2
9.5,-0.999292789,0,1.5,2
9.6,-0.9961646088,0,1.5,2
9.7,-0.990546536,0,1.5,2
9.8,-0.9824526126,0,1.5,2
9.9,-0.9719030694,0,1.5,2
10,-0.9589242747,0,1.5,2
10.1,-0.9435486686,0,1.5,2
10.2,-0.9258146823,0,1.5,2
10.3,-0.9057666415,0,1.5,2
10.4,-0.8834546557,0,1.5,2
10.5,-0.8589344934,0,1.5,2
10.6,-0.8322674422,0,1.5,2
10.7,-0.8035201559,0,1.5,2
10.8,-0.7727644876,0,1.5,2
10.9,-0.7400773105,0,1.5,2
11,-0.7055403256,0,1.5,2
11.1,-0.6692398573,0,1.5,2
11.2,-0.6312666379,0,1.5,2
11.3,-0.5917155806,0,1.5,2
11.4,-0.5506855426,0,1.5,2
11.5,-0.5082790775,0,1.5,2
11.6,-0.4646021794,0,1.5,2
11.7,-0.4197640178,0,1.5,2
11.8,-0.3738766648,0,1.5,2
11.9,-0.3270548149,0,1.5,2
12,-0.2794154982,0,1.5,2
12.1,-0.2310777883,0,1.5,2
12.2,-0.1821625043,0,1.5,2
12.3,-0.1327919089,0,1.5,2
12.4,-0.08308940282,0,1.5,2
12.5,-0.03317921655,0,1.5,2
12.6,0.01681390048,0,1.5,2
12.7,0.06676499152,0,1.5,2
12.8,0.1165492049,0,1.5,2
12.9,0.1660421059,0,1.5,2
13,0.2151199881,0,1.5,2
13.1,0.2636601824,0,1.5,2
13.2,0.3115413635,0,1.5,2
13.3,0.3586438535,0,1.5,2
13.4,0.4048499206,0,1.5,2
13.5,0.4500440738,0,1.5,2
13.6,0.4941133511,0,1.5,2
13.7,0.5369476024,0,1.5,2
13.8,0.5784397644,0,1.5,2
13.9,0.6184861282,0,1.5,2
14,0.6569865987,0,1.5,2
14.1,0.6938449449,0,1.5,2
14.2,0.7289690401,0,1.5,2
14.3,0.7622710924,0,1.5,2
14.4,0.7936678638,0,1.5,2
14.5,0.823080879,0,1.5,2
14.6,0.8504366206,0,1.5,2
14.7,0.8756667136,0,1.5,2
14.8,0.8987080958,0,1.5,2
14.9,0.9195031758,0,1.5,2
15,0.9379999768,0,1.5,2
15.1,0.9541522663,0,1.5,2
15.2,0.967919672,0,1.5,2
15.3,0.9792677827,0,1.5,2
15.4,0.9881682339,0,1.5,2
15.5,0.9945987791,0,1.5,2
15.6,0.9985433454,0,1.5,2
15.7,0.9999920733,0,1.5,2
15.8,0.9989413418,0,1.5,2
15.9,0.9953937773,0,1.5,2
16,0.9893582466,0,1.5,2
16.1,0.9808498356,0,1.5,2
16.2,0.9698898108,0,1.5,2
16.3,0.9565055667,0,1.5,2
16.4,0.9407305567,0,1.5,2
16.5,0.9226042102,0,1.5,2
16.6,0.9021718338,0,1.5,2
16.7,0.8794844975,0,1.5,2
16.8,0.8545989081,0,1.5,2
16.9,0.8275772664,0,1.5,2
