reference.x,reference.y,reference.yaw,reference.speed,drivable_width
1.98,0.248368669,0,2,2
1.99,0.249618524,0,2,2
2,0.250868312,0,2,2
2.01,0.25211803,0,2,2
2.02,0.25336768,0,2,2
2.03,0.25461726,0,2,2
2.04,0.25586677,0,2,2
2.05,0.25711621,0,2,2
2.06,0.25836558,0,2,2
2.07,0.259614879,0,2,2
2.08,0.260864106,0,2,2
2.09,0.262113262,0,2,2
2.1,0.263362347,0,2,2
2.11,0.264611359,0,2,2
2.12,0.265860298,0,2,2
2.13,0.267109165,0,2,2
2.14,0.268357958,0,2,2
2.15,0.269606678,0,2,2
2.16,0.270855324,0,2,2
2.17,0.272103895,0,2,2
2.18,0.273352392,0,2,2
2.19,0.274600814,0,2,2
2.2,0.275849161,0,2,2
2.21,0.277097432,0,2,2
2.22,0.278345628,0,2,2
2.23,0.279593746,0,2,2
2.24,0.280841789,0,2,2
2.25,0.282089754,0,2,2
2.26,0.283337642,0,2,2
2.27,0.284585452,0,2,2
2.28,0.285833184,0,2,2
2.29,0.287080838,0,2,2
2.3,0.288328413,0,2,2
2.31,0.289575909,0,2,2
2.32,0.290823326,0,2,2
2.33,0.292070663,0,2,2
2.34,0.29331792,0,2,2
2.35,0.294565096,0,2,2
2.36,0.295812192,0,2,2
2.37,0.297059207,0,2,2
2.38,0.29830614,0,2,2
2.39,0.299552991,0,2,2
2.4,0.300799761,0,2,2
2.41,0.302046447,0,2,2
2.42,0.303293051,0,2,2
2.43,0.304539572,0,2,2
2.44,0.30578601,0,2,2
2.45,0.307032363,0,2,2
2.46,0.308278632,0,2,2
2.47,0.309524817,0,2,2
2.48,0.310770917,0,2,2
2.49,0.312016932,0,2,2
2.5,0.313262861,0,2,2
2.51,0.314508705,0,2,2
2.52,0.315754462,0,2,2
2.53,0.317000132,0,2,2
2.54,0.318245716,0,2,2
2.55,0.319491212,0,2,2
2.56,0.320736621,0,2,2
2.57,0.321981942,0,2,2
2.58,0.323227175,0,2,2
2.59,0.324472319,0,2,2
2.6,0.325717374,0,2,2
2.61,0.32696234,0,2,2
2.62,0.328207216,0,2,2
2.63,0.329452002,0,2,2
2.64,0.330696698,0,2,2
2.65,0.331941303,0,2,2
2.66,0.333185817,0,2,2
2.67,0.33443024,0,2,2
2.68,0.335674571,0,2,2
2.69,0.33691881,0,2,2
2.7,0.338162957,0,2,2
2.71,0.339407011,0,2,2
2.72,0.340650972,0,2,2
2.73,0.341894839,0,2,2
2.74,0.343138613,0,2,2
2.75,0.344382293,0,2,2
2.76,0.345625878,0,2,2
2.77,0.346869369,0,2,2
2.78,0.348112764,0,2,2
2.79,0.349356064,0,2,2
2.8,0.350599269,0,2,2
2.81,0.351842377,0,2,2
2.82,0.353085388,0,2,2
2.83,0.354328303,0,2,2
2.84,0.355571121,0,2,2
2.85,0.356813841,0,2,2
2.86,0.358056464,0,2,2
2.87,0.359298988,0,2,2
2.88,0.360541414,0,2,2
2.89,0.361783741,0,2,2
2.9,0.363025969,0,2,2
2.91,0.364268097,0,2,2
2.92,0.365510125,0,2,2
2.93,0.366752053,0,2,2
2.94,0.367993881,0,2,2
2.95,0.369235608,0,2,2
2.96,0.370477233,0,2,2
